,site_id,meter,building_id,min_edge,max_edge,do_const
1,0,0,7,200.0,,
3,0,0,11,300.0,,
5,0,0,15,100.0,,
7,0,0,18,1000.0,,
9,0,0,20,200.0,,
11,0,0,23,400.0,1200.0,
13,0,0,25,100.0,,
15,0,0,27,100.0,,
17,0,0,30,200.0,,
19,0,0,32,100.0,,
21,0,0,35,60.0,,
23,0,0,39,100.0,,
25,0,0,43,20.0,,
27,0,0,47,,900.0,
29,0,0,52,,750.0,
31,0,0,54,200.0,,
33,0,0,61,70.0,,
35,0,0,63,60.0,,
37,0,0,68,50.0,,
39,0,0,74,25.0,,
41,0,0,76,1000.0,,
43,0,0,80,500.0,,
45,0,0,82,5.0,,
47,0,0,85,40.0,,
49,0,0,89,500.0,,
51,0,0,91,100.0,,
53,0,0,99,2.0,,
55,0,0,101,,400.0,
57,0,0,103,2.0,,
59,0,1,28,,3500.0,
61,0,1,91,,7000.0,
63,0,1,98,,10000.0,
65,7,0,797,1600.0,,
67,7,0,799,100.0,,1.0
69,7,0,802,100.0,,
71,7,1,789,10.0,,
73,7,1,791,250.0,,
75,7,2,800,200.0,1400.0,1.0
77,7,2,803,500.0,,
79,1,0,106,1.0,,
81,1,0,109,100.0,,1.0
83,1,0,111,200.0,,1.0
85,1,3,113,,150.0,
87,1,3,114,,1000.0,
89,1,0,116,100.0,,
91,1,3,117,,125.0,
93,1,0,119,350.0,,1.0
95,1,0,120,100.0,,1.0
97,1,3,121,1200.0,,
99,1,0,123,50.0,,
101,1,0,125,100.0,,
103,1,0,127,10.0,,1.0
105,1,0,129,40.0,,
107,1,0,133,20.0,,
109,1,0,137,20.0,,1.0
111,1,0,139,20.0,,1.0
113,1,0,140,10.0,,1.0
115,1,0,142,20.0,,1.0
117,1,0,144,32.0,,
119,1,0,145,10.0,,1.0
121,1,0,147,70.0,,1.0
123,1,0,149,60.0,,1.0
125,1,0,151,,120.0,
127,1,0,153,1.0,,
129,1,0,155,30.0,,1.0
131,2,0,157,13.0,,
133,2,1,161,,150.0,
135,2,0,164,1.0,,
137,2,0,167,40.0,,
139,2,1,168,,3500.0,
141,2,3,169,10.0,,
143,2,0,172,50.0,,
145,2,0,174,50.0,,
147,2,0,176,10.0,,
149,2,0,177,2.0,,
151,2,0,179,15.0,,
153,2,0,182,,40.0,
155,2,0,184,,70.0,
157,2,1,187,,400.0,
159,2,0,189,2.0,,
161,2,0,190,40.0,,
163,2,0,192,300.0,,
165,2,0,198,5.0,,
167,2,0,199,60.0,,
169,2,1,200,,1200.0,
171,2,0,202,100.0,,
173,2,0,205,40.0,,
175,2,0,206,50.0,,
177,2,0,207,30.0,,
179,2,0,209,600.0,1100.0,
181,2,0,210,100.0,,
183,2,0,213,100.0,,
185,2,0,215,12.0,,
187,2,0,216,30.0,,
189,2,0,219,100.0,,
191,2,0,221,150.0,,
193,2,1,222,,330.0,
