site_id,meter,building_id,min_edge,max_edge,do_const
0,0,7,200,,
0,0,11,300,,
0,0,15,100,,
0,0,18,1000,,
0,0,20,200,,
0,0,23,400,1200,
0,0,25,100,,
0,0,27,100,,
0,1,28,,3500,
0,0,30,200,,
0,0,32,100,,
0,0,35,60,,
0,0,39,100,,
0,0,43,20,,
0,0,47,,900,
0,0,52,,750,
0,0,54,200,,
0,0,61,70,,
0,0,63,60,,
0,0,68,50,,
0,0,74,25,,
0,0,76,1000,,
0,0,80,500,,
0,0,82,5,,
0,0,85,40,,
0,0,89,500,,
0,0,91,100,,
0,1,91,,7000,
0,1,98,,10000,
0,0,99,2,,
0,0,101,,400,
0,0,103,2,,
1,0,106,1,,
1,0,107,,,48
1,0,109,100,,48
1,0,111,200,,48
1,3,113,,150,
1,3,114,,1000,
1,0,116,100,,
1,3,117,,125,
1,0,119,350,,48
1,0,120,100,,48
1,3,121,1200,,
1,0,123,50,,
1,0,125,100,,
1,0,127,10,,48
1,0,129,40,,
1,0,133,20,,
1,0,137,20,,48
1,0,138,,,48
1,0,139,20,,48
1,0,140,10,,48
1,0,142,20,,48
1,0,144,32,,
1,0,145,10,,48
1,0,147,70,,48
1,0,149,60,,48
1,0,151,,120,
1,0,153,1,,
1,0,155,30,,48
2,0,157,13,,
2,1,161,,150,
2,0,164,1,,
2,0,167,40,,
2,1,168,,3500,
2,3,169,10,,
2,0,172,50,,
2,0,174,50,,
2,0,176,10,,
2,0,177,2,,
2,0,179,15,,
2,0,182,,40,
2,0,184,,70,
2,1,187,,400,
2,0,189,2,,
2,0,190,40,,
2,0,192,300,,
2,0,198,5,,
2,0,199,60,,
2,1,200,,1200,
2,0,202,100,,
2,0,205,40,,
2,0,206,50,,
2,0,207,30,,
2,0,209,600,1100,
2,0,210,100,,
2,0,213,100,,
2,0,215,12,,
2,0,216,30,,
2,0,219,100,,
2,0,221,150,,
2,1,222,,330,
2,0,224,100,,
2,0,226,15,,
2,0,229,80,,
2,0,231,,,48
2,0,232,30,,
2,1,233,,2000,
2,0,235,5,,
2,1,238,,,48
2,0,239,50,,
2,0,243,20,,
2,3,244,,200,
2,0,247,50,,48
2,1,247,,,48
2,0,249,200,,
2,0,253,50,,
2,1,254,,1500,
2,0,256,,65,
2,0,259,50,,
2,0,263,,,48
2,0,264,40,,
2,1,268,,1200,
2,0,271,5,,
2,1,273,,3000,
2,0,276,50,,
2,3,279,,2,
2,1,281,,4000,
2,0,285,,1800,
2,0,286,10,,
3,0,291,70,,
3,0,298,11,,
3,0,301,5,,
3,0,308,5,,
3,0,311,5,,
3,0,320,40,,
3,0,335,5,,
3,0,341,80,,
3,0,343,5,,
3,0,350,5,,
3,0,361,8,,
3,0,372,5,,
3,0,374,120,,
3,0,376,250,1600,
3,0,391,42,,
3,0,393,18,,
3,0,395,5,,
3,0,399,50,,
3,0,407,50,,
3,0,409,40,,
3,0,413,2,,
3,0,417,20,,
3,0,425,50,320,
3,0,427,2,,
3,0,430,5,,
3,0,432,10,,
3,0,440,10,,
3,0,442,5,,
3,0,448,100,,
3,0,451,2,,
3,0,456,5,,
3,0,462,5,,
3,0,470,20,,
3,0,473,50,,
3,0,475,100,,
3,0,479,60,,
3,0,481,20,,
3,0,483,90,,
3,0,486,50,,
3,0,489,100,,
3,0,492,50,,
3,0,494,25,,
3,0,503,7,,
3,0,508,1,,
3,0,510,1,,
3,0,513,20,,
3,0,528,10,,
3,0,531,1,,
3,0,537,30,,
3,0,545,20,,
3,0,551,100,,
3,0,554,5,,
3,0,557,5,,
3,0,559,,200,
3,0,562,150,,
4,0,570,70,,
4,0,576,100,275,
4,0,592,280,,
4,0,604,0,,
4,0,611,375,,
4,0,619,130,,
4,0,626,50,,
4,0,632,30,,
4,0,645,1200,,
4,0,649,345,,
4,0,653,520,,
4,0,655,,300,
5,0,657,1,,
5,0,659,1,,
5,0,661,1,,
5,0,663,1,,
5,0,666,1,,
5,0,668,1,,
5,0,670,1,,
5,0,672,5,,
5,0,675,1,,
5,0,678,1,,48
5,0,680,1,,
5,0,683,1,,
5,0,685,200,,
5,0,689,5,,
5,0,691,,20,
5,0,693,1,,48
5,0,695,10,,
5,0,698,1,,
5,0,701,1,,
5,0,703,1,,
5,0,705,1,,
5,0,708,1,,
5,0,710,0,,
5,0,712,0,,
5,0,715,1,,
5,0,718,1,,
5,0,720,1,,
5,0,722,1,,
5,0,724,1,,
5,0,727,1,,
5,0,729,1,,
5,0,731,1,,
5,0,733,1,,
5,0,735,1,,
5,0,741,0,,
6,1,745,,500,
6,0,746,30,,
6,0,749,10,,
6,1,750,,1500,
6,1,753,,1500,
6,1,755,,500,
6,0,758,20,,
6,2,759,,,48
6,0,762,90,,
6,2,764,500,,
6,2,765,10,,
6,0,767,150,,
6,2,767,,3500,
6,1,769,,1500,
6,0,770,20,,
6,2,770,,1750,
6,2,771,,1000,
6,0,773,20,,
6,2,776,,3000,
6,0,778,110,,
6,1,780,,2000,
6,0,782,200,,
6,0,785,600,,
6,1,787,,1500,
7,1,789,10,,
7,1,791,250,,
7,1,793,,,48
7,0,797,1600,,
7,0,799,100,,48
7,2,800,200,1400,48
7,1,801,,,48
7,0,802,100,,
7,2,803,500,,
8,0,804,,800,
8,0,807,,60,
8,0,809,,6,
8,0,824,,40,
8,0,828,,35,
8,0,831,,35,
8,0,833,,35,
8,0,842,,35,
8,0,844,,36,
8,0,850,,175,
8,0,852,,33,
8,0,857,,10,
8,0,862,,70,
8,0,869,,2700,
9,1,874,,1200,
9,1,875,,1000,
9,0,876,,60,
9,0,878,,60,
9,2,878,,150,
9,1,879,,5000,
9,0,880,,300,
9,2,880,,1000,
9,0,882,,100,
9,1,883,,3000,
9,0,885,,100,
9,2,885,,300,
9,1,886,,1200,
9,0,887,,100,
9,2,887,,500,
9,1,888,,1500,
9,0,889,,200,
9,2,889,,500,
9,1,890,,3000,
9,0,891,,80,
9,0,892,,200,
9,1,893,,200,
9,1,894,,700,
9,0,895,,80,
9,2,895,,500,
9,1,896,,1500,
9,0,897,,80,
9,1,898,,200,
9,0,899,,350,
9,2,899,,1200,
9,1,900,,1500,
9,0,901,,350,
9,2,901,,1000,
9,0,903,,1000,
9,2,903,,2300,
9,0,905,,60,
9,2,905,,200,
9,1,906,,500,
9,0,907,,170,
9,2,907,,300,
9,1,908,,1500,
9,0,909,,750,
9,1,910,,800,
9,0,911,,600,
9,2,911,,1000,
9,1,912,,300,
9,0,913,,2000,
9,2,913,,1200,
9,1,914,,3000,
9,0,915,,400,
9,2,915,,600,
9,1,916,,350,
9,0,917,,600,
9,2,917,,1250,
9,1,918,,400,
9,0,919,,70,
9,1,920,,900,
9,0,921,,1000,
9,2,921,,1000,
9,1,922,,1500,
9,0,923,,100,
9,0,924,,450,
9,2,924,,1200,
9,1,925,,350,
9,0,926,,50,
