site_id,meter,building_id,min_edge,max_edge,do_const
0,0,0,-400,400,
0,1,7,,,50
0,1,9,,,50
0,0,18,1300,,
0,0,22,0,,
0,0,25,0,,
0,0,38,0,2000,
0,0,41,0,200,
0,1,43,,,50
0,0,53,0,,
0,1,60,,25000,50
0,1,75,,,50
0,0,77,0,1000,
0,0,78,0,20000,
0,0,86,0,1000,
0,1,95,,,50
0,1,97,,,50
0,1,98,,,50
0,0,101,,400,
0,1,103,,5000,
1,0,105,,,50
1,0,106,,,20
1,3,106,,,40
1,0,107,,,50
1,0,108,,,50
1,0,109,,,50
1,3,109,,,40
1,0,110,,,50
1,0,111,,,50
1,0,112,,,50
1,3,112,,,40
1,0,113,,,50
1,3,113,,,40
1,0,114,,,50
1,3,114,,,40
1,0,115,,,50
1,0,117,,,50
1,3,117,,,40
1,0,119,,,50
1,3,119,,4000,40
1,0,120,,,50
1,3,121,,20000,40
1,0,127,,,50
1,0,136,,,50
1,0,137,,,50
1,0,138,,,50
1,3,138,,,40
1,0,139,,,50
1,3,139,,,40
1,0,140,,,50
1,0,141,,,50
1,0,142,,,50
1,0,143,,,50
1,0,144,,,50
1,3,144,,100,40
1,0,145,,,50
1,3,145,,2000,40
1,0,147,,,50
1,0,149,,,50
1,0,152,,,50
1,0,155,,,50
2,0,177,,,100
2,0,180,,,1000
2,1,187,,1000,
2,1,207,,,100
2,1,254,,1600,
2,1,257,,800,
2,0,258,,,100
2,1,260,,,1000
2,0,269,,,100
2,1,273,,3000,
2,0,278,,,40
2,1,281,,2000,
4,0,577,,,100
4,0,592,100,,
4,0,604,,,100
4,0,609,300,,
4,0,620,750,,
4,0,626,10,,
4,0,627,85,,
4,0,632,30,,
4,0,645,1000,,
4,0,654,40,,
5,0,681,,,100
5,0,693,,,1000
5,0,723,,,100
5,0,733,,,100
5,0,739,,,100
6,1,745,500,,
6,1,748,,,100
6,0,749,10,,
6,1,750,1500,,100
6,2,750,,,150
6,2,751,,,150
6,1,752,,,100
6,1,753,2000,,
6,2,753,,,150
6,1,755,2000,,
6,0,758,10,,
6,2,762,,500,
6,1,763,,,100
6,2,764,500,,
6,1,765,2000,,
6,1,767,,,100
6,0,769,10,,
6,1,769,2000,,
6,2,769,,2000,
6,0,770,10,,
6,1,770,2000,,
6,2,770,,,150
6,1,771,20,,
6,0,773,10,,
6,2,774,,,500
6,1,776,2000,,100
6,2,776,,3000,
6,1,777,2000,,
6,0,778,50,,
6,1,780,2000,,
6,0,781,10,,
6,2,784,2000,,
6,0,785,200,,
6,1,786,7000,,100
6,1,787,2000,,
7,1,789,,,50
7,1,790,,,50
7,1,792,,,50
7,2,797,,8000,
7,0,799,,,100
7,1,799,,4000,
7,0,800,75,,100
7,1,800,,400,
7,2,800,0,,100
7,0,801,3000,,
7,0,802,,,100
7,2,803,0,,
8,0,815,,,1000
8,0,848,,,1000
8,0,857,,10,
9,0,874,,,50
9,1,874,,,50
9,2,874,,,50
9,0,875,,,50
9,1,875,,,50
9,2,875,,1000,50
9,0,876,,800,50
9,2,876,,,50
9,0,877,,,50
9,0,878,,,50
9,2,878,,200,
9,0,879,,,50
9,1,879,,8000,
9,2,879,,3000,50
9,0,880,,,50
9,1,880,,8000,50
9,2,880,,1500,
9,0,881,,,50
9,0,882,,,50
9,0,883,,,50
9,1,883,,,50
9,0,884,,,50
9,0,885,,,50
9,1,885,,2000,50
9,2,885,,250,
9,0,886,,2000,50
9,1,886,,,50
9,2,886,,1000,50
9,0,887,,,50
9,1,887,,,50
9,2,887,,325,
9,0,888,,,50
9,1,888,,,50
9,2,888,,2000,50
9,0,889,,,50
9,1,889,,,50
9,2,889,,500,40
9,0,890,,,50
9,1,890,,,50
9,2,890,,2000,50
9,0,891,,,50
9,1,891,,1000,
9,0,892,,,50
9,0,893,,,50
9,1,893,,,50
9,0,894,,,50
9,1,894,,,50
9,2,894,,500,50
9,0,895,,,50
9,1,895,,,50
9,2,895,,400,50
9,0,896,,,50
9,1,896,,,50
9,2,896,,1000,
9,0,898,,,50
9,1,898,,,50
9,2,898,,1500,
9,0,899,,,50
9,1,899,,,50
9,2,899,,800,
9,0,900,,,50
9,1,900,,5000,50
9,2,900,,800,
9,0,901,,,50
9,1,901,,,50
9,2,901,,1000,
9,0,902,,,50
9,0,903,,,50
9,1,903,,20000,
9,2,903,,2400,
9,0,904,,2000,50
9,0,905,,,50
9,1,905,,,50
9,2,905,,140,
9,0,906,,,50
9,1,906,,2000,50
9,2,906,,400,
9,0,907,,,50
9,1,907,,2000,
9,2,907,,300,50
9,0,908,,,50
9,1,908,,2500,
9,2,908,,1000,
9,0,909,,,100
9,0,910,,,50
9,1,910,,4000,
9,2,910,,300,40
9,0,911,,,50
9,1,911,,,50
9,2,911,,1250,
9,0,912,,,50
9,1,912,,,50
9,2,912,,120,50
9,0,913,,,50
9,1,913,,,50
9,2,913,,2000,
9,0,914,,,50
9,1,914,,,50
9,2,914,,800,
9,0,915,,,50
9,1,915,,,50
9,2,915,,750,
9,0,916,,,50
9,1,916,,,50
9,2,916,,200,50
9,0,917,,,50
9,1,917,,,50
9,2,917,,1500,50
9,0,918,,,50
9,1,918,,,50
9,2,918,,300,
9,0,919,,,50
9,0,920,,,50
9,1,920,,4000,
9,2,920,,490,
9,0,921,,2000,
9,1,921,,,50
9,2,921,,1500,50
9,0,922,,,50
9,1,922,,,50
9,2,922,,600,
9,0,923,,,50
9,1,923,,1500,50
9,0,924,,,50
9,1,924,,,50
9,2,924,,3000,
9,0,925,,,50
9,1,925,,1000,50
9,2,925,,,50
9,0,926,,,50
9,1,926,,500,
9,2,926,,200,
9,0,927,,3000,50
9,1,927,,20000,50
9,2,927,,4000,
9,0,928,,,50
9,1,928,,,50
9,2,928,,1250,50
9,0,929,,,50
9,1,929,,2000,50
9,2,929,,600,50
9,0,930,,,50
9,0,931,,,50
9,1,931,,6000,
9,2,931,,1000,
9,0,932,,,50
9,1,932,,,50
9,2,932,,1750,50
9,1,933,,,50
9,2,933,,75,50
9,1,934,,2500,
9,2,934,,500,40
9,0,935,,,50
9,1,935,,,50
9,0,936,,,50
9,0,937,,,50
9,0,938,,,50
9,0,939,,,50
9,0,940,,,50
9,0,941,,,50
9,0,942,,,50
9,1,942,,,50
9,2,942,,600,50
9,0,943,,,50
9,0,944,,,50
9,0,945,,,50
9,1,945,,,50
9,2,945,,1200,
9,0,946,,,50
9,1,946,,10000,
9,2,946,,1200,
9,0,947,,,50
9,0,948,,,50
9,1,948,,1000,
9,2,948,,120,
9,0,949,,600,50
9,1,949,,2000,50
9,2,949,,500,
9,0,950,,,50
9,0,951,,,50
9,1,951,,,50
9,2,951,,800,50
9,0,952,,,50
9,1,952,,,50
9,2,952,,1600,
9,0,953,,,50
9,1,953,,,50
9,2,953,,1250,
9,0,954,,1000,50
9,1,954,,50000,50
9,2,954,,10000,50
9,0,955,,4000,50
9,1,955,,15000,
9,2,955,,1750,40
9,0,956,,500,
9,1,956,,2000,50
9,2,956,,350,
9,0,957,,,50
9,1,957,,3000,50
9,2,957,,1200,
9,0,958,,,50
9,1,958,,,50
9,2,958,,1200,
9,0,959,,,50
9,1,959,,,50
9,2,959,,2500,
9,0,960,,,50
9,1,960,,,50
9,2,960,,350,
9,0,961,,1500,
9,1,961,,8000,50
9,2,961,,2000,50
9,0,962,,2000,50
9,1,962,,,50
9,2,962,,,40
9,0,963,,,50
9,1,963,,2000,
9,2,963,,200,
9,0,964,,,50
9,1,964,,5000,50
9,2,964,,1000,50
9,0,965,,,50
9,1,965,,1000,50
9,2,965,,200,50
9,0,966,,3000,50
9,1,966,,,50
9,2,966,,1750,
9,1,967,,1750,
9,2,967,,575,
9,0,968,,,50
9,1,968,,,50
9,2,968,,800,50
9,0,969,,,50
9,1,969,,2000,
9,2,969,,700,
9,0,970,,,50
9,0,971,,,50
9,1,971,,,50
9,2,971,,800,50
9,0,972,,,50
9,1,972,,,50
9,2,972,,1500,50
9,0,973,,,50
9,1,973,,2500,
9,2,973,,450,50
9,0,974,,,50
9,1,974,,,50
9,2,974,,800,
9,0,975,,,50
9,1,975,,,50
9,0,976,,,50
9,1,976,,1000,
9,2,976,,60,40
9,0,977,,1000,
9,0,978,,,50
9,1,978,,4000,50
9,2,978,,2000,
9,0,979,,,50
9,1,979,,,50
9,2,979,,,50
9,0,980,,,50
9,1,980,,,50
9,2,980,,150,
9,0,981,,,50
9,1,981,,,50
9,2,981,,400,50
9,0,982,,,50
9,0,983,,3500,
