site_id,meter,building_id,min_edge,max_edge,do_const
0,0,3,5,,
0,0,7,200,,
0,0,8,100,,
0,0,11,300,,
0,0,12,50,,
0,0,15,100,,
0,0,16,500,,
0,0,18,1000,,
0,0,19,100,,
0,0,20,200,,
0,0,22,3,,
0,0,23,400,1200,
0,0,24,300,,
0,0,25,100,,
0,0,26,50,,
0,0,27,100,,
0,0,29,250,,
0,0,30,200,,
0,0,31,200,,
0,0,32,100,,
0,0,34,100,,
0,0,35,60,,
0,0,36,,400,
0,0,39,100,,
0,0,42,200,,
0,0,43,20,,
0,0,45,1,,
0,0,47,,900,
0,0,51,20,,
0,0,52,,750,
0,0,53,1,,
0,0,54,200,,
0,0,55,10,,
0,0,61,70,,
0,0,62,200,,
0,0,63,60,,
0,0,66,50,,
0,0,68,50,,
0,0,71,50,,
0,0,74,25,,
0,0,75,25,,
0,0,76,1000,,
0,0,79,100,,
0,0,80,500,,
0,0,81,5,,
0,0,82,5,,
0,0,84,2,,
0,0,85,40,,
0,0,86,10,,
0,0,89,500,,
0,0,90,100,,
0,0,91,100,,
0,0,94,20,,
0,0,99,2,,
0,0,100,,330,
0,0,101,,400,
0,0,102,10,,
0,0,103,2,,
0,1,14,1,,
0,1,28,,3500,
0,1,50,,4500,
0,1,91,,7000,
0,1,96,,10000,
0,1,98,,10000,
0,1,103,,1700,
7,0,797,1600,,
7,0,798,,4000,
7,0,799,100,,1
7,0,801,3000,7000,
7,0,802,100,,
7,0,803,100,,
7,1,789,10,,
7,1,790,10,,
7,1,791,250,,
7,1,792,100,,
7,2,800,200,1400,1
7,2,801,,8000,1
7,2,803,500,,
1,0,105,30,,1
1,0,106,1,,
1,0,108,120,,1
1,0,109,100,,1
1,0,110,100,,1
1,0,111,200,,1
1,0,113,250,,1
1,3,113,,150,
1,0,114,500,,1
1,3,114,,1000,
1,0,115,300,,1
1,0,116,100,,
1,0,117,20,,1
1,3,117,,125,
1,0,118,200,,
1,0,119,350,,1
1,3,119,,1000,
1,0,120,100,,1
1,0,121,200,,
1,3,121,1200,,
1,0,122,150,475,
1,0,123,50,,
1,0,124,5,,
1,0,125,100,,
1,0,126,50,,
1,0,127,10,,1
1,0,128,40,,
1,0,129,40,,
1,0,132,20,,
1,0,133,20,,
1,0,136,20,,1
1,0,137,20,,1
1,3,138,,250,
1,0,139,20,,1
1,3,139,,375,
1,0,140,10,,1
1,0,141,22,,1
1,0,142,20,,1
1,0,143,20,,1
1,0,144,32,,
1,3,144,,60,
1,0,145,10,,1
1,3,145,,600,
1,0,147,70,,1
1,0,148,80,,
1,0,149,60,,1
1,0,150,250,,
1,0,151,,120,
1,0,152,5,,1
1,0,153,1,,
1,0,154,150,,
1,0,155,30,,1
2,0,156,50,,
2,0,157,13,,
2,0,159,3,,
2,1,161,,150,
2,0,163,50,,
2,0,164,1,,
2,1,166,,3000,
2,0,167,40,,
2,0,168,300,,
2,1,168,,3500,
2,0,169,400,,
2,3,169,10,,
2,0,170,20,,
2,0,172,50,,
2,0,173,50,,
2,0,174,50,,
2,0,175,30,,
2,0,176,10,,
2,1,176,,400,
2,0,177,2,,
2,0,178,2,,
2,0,179,15,,
2,0,180,1,,
2,0,182,,40,
2,0,183,75,,
2,0,184,,70,
2,0,187,1,,
2,1,187,,400,
2,0,188,1,,1
2,0,189,2,,
2,1,189,,200,
2,0,190,40,,
2,0,191,1,,
2,0,192,300,,
2,0,196,5,,
2,0,198,5,,
2,1,198,,800,
2,0,199,60,,
2,0,200,10,,
2,1,200,,1200,
2,0,201,400,,
2,0,202,100,,
2,0,203,150,,
2,0,205,40,,
2,1,205,,400,
2,0,206,50,,
2,1,206,,800,
2,0,207,30,,
2,0,208,10,,
2,0,209,600,1100,
2,1,209,1,4000,
2,0,210,100,,
2,0,212,600,,
2,0,213,100,,
2,3,213,30,,
2,0,215,12,,
2,1,215,,250,
2,0,216,30,,
2,0,217,140,,
2,0,219,100,,
2,0,220,150,,
2,0,221,150,,
2,0,222,5,,
2,1,222,,330,
2,0,223,1700,,
2,0,224,100,,
2,0,225,40,,
2,0,226,15,,
2,0,228,10,,
2,0,229,80,,
2,1,231,1,,
2,0,232,30,,
2,3,232,,600,
2,1,233,,2000,
2,0,234,20,,
2,0,235,5,,
2,0,236,10,,
2,0,239,50,,
2,0,240,10,,
2,0,243,20,,
2,0,244,20,,
2,3,244,,200,
2,0,246,150,,
2,0,247,50,,1
2,0,248,5,,1
2,0,249,200,,
2,1,252,,6,
2,0,253,50,,
2,0,254,5,,
2,1,254,,1500,
2,0,252,10,,
2,0,256,,65,
2,0,257,12,,
2,0,259,50,,
2,0,261,30,,
2,0,264,40,,
2,0,265,40,,
2,1,268,,1200,
2,0,269,5,,
2,0,271,5,,
2,0,272,,60,
2,1,273,,3000,
2,0,275,40,,
2,0,276,50,,
2,0,278,5,,
2,3,279,,2,
2,0,281,1,,
2,1,281,,4000,
2,3,284,,200,
2,0,285,,1800,
2,1,285,,5000,
2,0,286,10,,
2,3,287,,10,
3,0,291,70,,
3,0,296,10,,
3,0,298,11,,
3,0,300,5,,
3,0,301,5,,
3,0,302,10,,
3,0,308,5,,
3,0,310,5,,
3,0,311,5,,
3,0,319,5,,
3,0,320,40,,
3,0,323,140,,
3,0,335,5,,
3,0,339,,100,
3,0,341,80,,
3,0,342,5,,
3,0,343,5,,
3,0,347,10,,
3,0,350,5,,
3,0,360,5,,
3,0,361,8,,
3,0,365,800,,
3,0,372,5,,
3,0,373,30,,
3,0,374,120,,
3,0,375,500,,
3,0,376,250,1600,
3,0,386,5,,
3,0,391,42,,
3,0,392,25,,
3,0,393,18,,
3,0,394,5,,
3,0,395,5,,
3,0,396,,91,
3,0,399,50,,
3,0,404,100,,
3,0,407,50,,
3,0,408,2,,
3,0,409,40,,
3,0,412,30,,
3,0,413,2,,
3,0,414,10,,
3,0,417,20,,
3,0,422,1,,
3,0,425,50,320,
3,0,426,20,,
3,0,427,2,,
3,0,429,1,,
3,0,430,5,,
3,0,431,1,,
3,0,432,10,,
3,0,433,10,,
3,0,440,10,,
3,0,441,5,,
3,0,442,5,,
3,0,447,5,,
3,0,448,100,,
